pid,experimental_block,state,congressional_district,treatment_assignment,estimated_turnout_2018,clinton_votes_2016,trump_votes_2016,total_votes_2016,house_dem_votes_2018,house_rep_votes_2018,house_total_votes_2018,number_registered_voters,number_targets
2027,358,IL,13,Treatment,172.57749,25,126,159,22,124,147,233,53
2028,435,IL,13,Control,219.53736,733,75,873,625,50,675,934,0
2029,1151,VA,1,Treatment,1666.79094,1298,615,2063,1238,506,1744,3841,218
2030,352,IL,14,Treatment,921.21351,553,365,971,538,336,874,1374,404
2031,763,NV,3,Control,730.35414,184,616,830,210,501,748,1133,975
2032,953,PA,10,Treatment,840.0738,488,445,977,452,364,816,1388,8
2033,326,IL,12,Treatment,490.96626,117,449,608,129,317,461,895,773
2034,436,IL,12,Treatment,885.00192,204,702,957,232,575,826,1382,1160
2035,339,IL,14,Treatment,504.30228,267,221,532,282,164,446,761,184
2036,1060,PA,10,Treatment,861.37815,283,592,908,284,506,790,1085,43
2037,583,MN,8,Treatment,822.96324,370,619,1055,389,502,920,1147,740
2038,1277,WA,3,Treatment,634.13691,368,306,725,352,278,630,1020,524
2039,913,PA,16,Treatment,442.63899,168,352,546,168,216,392,840,201
2040,989,PA,10,Treatment,2533.35102,1115,1520,2753,1147,1442,2589,3626,141
2041,287,FL,16,Treatment,726.32676,238,615,888,210,551,779,1349,343
2042,992,PA,10,Treatment,485.40636,421,96,543,367,86,453,800,24
2043,84,FL,18,Treatment,1212.24654,1291,351,1691,1044,268,1341,3031,1581
2044,231,FL,15,Treatment,1709.74536,1233,1189,2522,1012,935,1981,4128,1904
2045,506,IL,6,Treatment,652.97736,405,267,733,355,257,612,1080,126
2046,989,PA,10,Treatment,2047.8879,827,1415,2329,838,1194,2033,3164,56
2047,112,FL,16,Treatment,1919.48904,1531,878,2535,1483,818,2358,4746,1643
2048,53,FL,6,Treatment,2146.04916,1125,1444,2689,1088,1197,2314,3848,1002
2049,681,NV,4,Treatment,688.60716,919,356,1347,700,225,970,2217,884
2050,496,IL,13,Treatment,807.669,236,586,870,247,451,698,1206,152
2051,351,IL,14,Treatment,800.50434,294,480,845,281,392,673,1462,726
2052,393,IL,13,Treatment,343.785,92,247,359,86,206,292,499,62
2053,439,IL,6,Treatment,520.0248,147,308,480,135,324,459,642,173
2054,475,IL,14,Treatment,746.85066,269,369,688,283,364,647,1006,370
2055,241,FL,6,Treatment,3430.42347,1277,1858,3292,1573,2115,3760,4737,889
2056,922,PA,11,Treatment,864.43158,349,692,1091,327,485,812,1861,489
2057,433,IL,13,Treatment,362.99955,124,237,392,146,172,318,603,7
2058,1114,VA,1,Treatment,1687.49157,579,1229,1898,517,1051,1568,2973,236
2059,2,FL,18,Treatment,841.00002,674,433,1147,617,353,996,1624,546
2060,1116,VA,5,Treatment,731.13072,546,208,797,528,193,721,1340,318
2061,520,IL,6,Treatment,633.25068,288,335,664,242,343,585,952,61
2062,1296,WA,5,Treatment,749.7867,266,417,733,321,437,758,1013,78
2063,801,OH,1,Treatment,346.24761,295,127,446,239,94,337,681,610
2064,979,PA,11,Treatment,280.82397,488,33,526,347,21,368,932,544
2065,829,OH,12,Treatment,403.62423,86,306,403,103,244,353,575,140
2066,1185,VA,5,Treatment,2121.62559,1363,592,2113,1599,581,2180,3212,1463
2067,1241,WA,5,Treatment,123.6981,29,79,117,35,100,135,160,62
2068,1231,WA,5,Control,300.72738,71,192,285,83,204,287,359,130
2069,497,IL,6,Treatment,641.44218,360,343,744,343,270,613,1287,577
2070,1268,WA,5,Treatment,510.41688,177,328,548,184,317,501,790,99
2071,386,IL,14,Treatment,762.49707,380,401,844,343,366,709,1178,282
2072,1328,WA,5,Treatment,430.33884,139,255,421,153,271,424,538,193
2073,1136,VA,5,Treatment,1295.29287,335,854,1218,344,788,1132,1883,751
2074,325,IL,6,Treatment,429.20235,185,183,397,201,188,389,571,64
2075,617,MN,1,Treatment,74.51814,23,70,95,21,51,72,102,72
2076,1339,WA,5,Treatment,397.20132,143,291,498,172,292,464,731,180
2077,654,MN,8,Treatment,1402.81437,500,1329,1974,488,989,1523,2120,1195
2078,559,MN,3,Treatment,2849.27202,1588,1590,3485,1587,1602,3196,4004,1646
2079,236,FL,18,Treatment,73.1688,39,93,134,13,61,75,122,81
2080,579,MN,1,Treatment,105.64326,35,71,123,51,64,115,143,110
2081,553,MN,8,Control,232.05423,130,106,261,125,118,253,289,88
2082,642,MN,8,Treatment,657.6291,344,383,798,320,333,685,902,293
2083,610,MN,8,Control,48.00864,18,35,62,20,28,51,65,25
2084,188,FL,18,Treatment,870.32301,464,660,1152,448,571,1024,1460,586
2085,538,MN,3,Treatment,1127.95536,638,702,1477,615,635,1251,1568,414
2086,1237,WA,3,Treatment,395.25987,320,561,991,192,236,428,806,644
2087,170,FL,16,Control,618.08157,547,787,1398,338,303,659,1727,624
2088,1055,PA,10,Treatment,599.26692,280,397,713,273,306,579,1092,32
2089,1268,WA,3,Treatment,501.71196,196,333,557,182,333,515,761,597
2090,1065,PA,7,Treatment,583.2735,321,370,728,327,246,591,1040,1
2091,500,IL,14,Treatment,735.19035,464,364,881,451,283,734,1389,522
2092,429,IL,13,Treatment,274.74549,101,166,283,101,134,235,419,21
2093,615,MN,1,Treatment,330.0594,102,280,410,115,180,296,433,255
2094,1124,VA,10,Treatment,1671.58974,736,540,1374,775,631,1406,2460,857
2095,355,IL,6,Treatment,491.48613,239,195,481,213,217,430,663,32
2096,423,IL,12,Treatment,439.81776,135,341,498,154,257,423,854,706
2097,1195,VA,10,Treatment,2848.2555,1136,1163,2452,1200,1183,2383,4302,2177
2098,478,IL,12,Treatment,258.46956,90,208,314,87,159,259,522,441
2099,871,OH,1,Treatment,759.47718,819,31,864,672,30,710,1338,1236
2100,739,NV,3,Control,512.3751,546,326,923,466,231,730,1571,1495
2101,991,PA,10,Treatment,706.90065,745,201,1000,583,144,730,2202,27
2102,736,NV,3,Treatment,361.34319,279,244,560,271,156,455,771,596
2103,455,IL,14,Treatment,760.92198,307,385,763,302,342,644,1162,426
2104,1042,PA,11,Treatment,781.08081,297,584,928,266,480,746,1251,776
2105,464,IL,13,Treatment,741.75387,286,478,808,304,397,701,1255,2
2106,487,IL,12,Treatment,442.98084,82,370,471,102,289,394,653,570
2107,453,IL,6,Treatment,766.13745,384,437,858,327,400,727,1275,334
2108,30,FL,15,Treatment,859.84563,1005,256,1317,936,170,1135,2397,1521
2109,1225,WA,5,Treatment,193.758,54,125,193,72,132,204,296,100
2110,987,PA,7,Control,483.37332,397,232,650,337,161,513,857,0
2111,1266,WA,3,Treatment,505.69161,149,293,477,160,296,456,627,548
2112,1128,VA,2,Treatment,2633.42148,793,1392,2298,893,1400,2293,3977,1938
2113,428,IL,12,Treatment,483.2985,371,140,528,317,69,403,1019,883
2114,957,PA,16,Treatment,674.63646,310,457,804,334,317,657,1249,287
2115,1155,VA,7,Treatment,1297.60584,826,620,1555,883,516,1422,2325,1074
2116,374,IL,12,Treatment,356.14707,310,71,389,169,46,227,707,584
2117,960,PA,7,Treatment,516.61275,368,250,645,355,190,557,878,1
2118,1337,WA,3,Treatment,391.644,135,245,401,145,245,390,555,293
2119,1141,VA,7,Treatment,1269.25035,720,662,1477,754,525,1294,2024,715
2120,642,MN,1,Treatment,495.97662,329,296,719,410,199,611,824,624
2121,167,FL,6,Treatment,2533.96248,1514,1431,3094,1508,1278,2841,4737,1227
2122,607,MN,3,Treatment,1484.60295,1071,688,1907,1204,713,1924,2361,1038
2123,1127,VA,7,Treatment,1923.82989,682,1214,2011,752,1036,1810,3350,1108
2124,1197,WA,3,Treatment,692.59713,478,473,1023,369,385,754,1402,851
2125,470,IL,14,Treatment,551.21055,277,215,529,304,198,502,717,157
2126,552,MN,8,Control,55.82733,18,47,68,94,86,184,79,24
2127,1242,WA,5,Treatment,419.42802,193,204,454,210,224,434,920,10
2128,1298,WA,5,Control,323.57715,79,241,346,73,244,317,448,153
2129,646,MN,8,Treatment,305.24754,171,119,327,178,117,316,367,112
2130,1351,WA,5,Treatment,328.98225,63,233,319,70,239,309,435,140
2131,1165,VA,10,Treatment,2122.52343,896,884,1899,934,873,1807,3031,673
2132,1022,PA,16,Control,1194.57483,596,600,1242,615,468,1088,1782,387
2133,626,MN,2,Treatment,1482.62022,704,1010,1879,756,954,1714,2148,1236
2134,1303,WA,3,Treatment,1019.81724,528,472,1072,607,472,1079,1589,1097
2135,886,OH,12,Treatment,764.13279,280,505,822,291,412,710,1120,278
2136,471,IL,12,Treatment,757.78599,261,520,828,276,458,757,1196,1011
2137,125,FL,18,Treatment,123.37302,100,56,168,93,50,145,312,78
2138,498,IL,6,Treatment,307.21866,162,107,294,172,132,304,468,30
2139,800,OH,12,Treatment,614.3496,111,504,632,111,394,509,926,205
2140,1099,VA,7,Treatment,1650.79107,1451,608,2242,1496,491,2003,3924,2351
2141,220,FL,18,Treatment,1600.81002,790,1074,1931,742,966,1726,2444,738
2142,162,FL,16,Treatment,3111.6348,1137,2050,3372,1440,2234,3713,5303,1566
2143,82,FL,6,Treatment,1325.36793,616,922,1601,599,756,1387,2404,1150
2144,505,IL,14,Treatment,574.64469,302,267,635,316,244,560,948,417
2145,727,NV,4,Treatment,777.6249,326,558,908,300,454,795,1072,867
2146,913,PA,11,Treatment,485.91591,171,415,622,172,291,463,935,826
2147,1185,VA,5,Treatment,2020.83144,1103,738,1951,1158,724,1882,2957,1122
2148,528,MN,2,Treatment,680.96004,306,508,892,347,469,816,1004,854
2149,758,NV,3,Treatment,710.59521,494,541,1092,451,393,904,1465,1169
2150,533,MN,2,Treatment,1735.01001,1264,861,2366,1309,726,2044,2639,1234
2151,322,IL,12,Treatment,593.44773,310,316,695,291,213,529,1172,820
2152,596,MN,2,Treatment,1321.24767,910,700,1756,955,659,1617,1967,737
2153,1312,WA,3,Treatment,577.21953,109,469,607,138,480,618,869,819
2154,504,IL,13,Treatment,647.07561,245,361,649,220,385,605,837,0
2155,913,PA,16,Treatment,434.81772,155,317,512,173,198,381,848,212
2156,855,OH,1,Treatment,630.04761,432,259,714,383,206,597,908,555
2157,329,IL,13,Control,613.16925,248,336,624,238,300,538,891,12
2158,94,FL,6,Control,1820.99367,976,1102,2191,977,876,1892,3352,780
2159,406,IL,14,Treatment,1573.98705,721,848,1693,770,713,1483,2497,792
2160,405,IL,12,Treatment,577.23114,153,416,605,170,314,494,1020,979
2161,1321,WA,3,Treatment,212.80098,89,125,233,82,130,212,390,341
2162,358,IL,13,Treatment,486.14811,149,342,517,153,282,435,704,18
2163,837,OH,12,Treatment,560.49984,252,360,634,253,297,561,839,569
2164,1123,VA,2,Treatment,899.57376,535,448,1072,506,387,893,1900,774
2165,415,IL,13,Treatment,221.01957,49,161,234,68,124,192,447,124
2166,443,IL,6,Treatment,554.23689,300,229,566,314,187,501,905,281
2167,411,IL,14,Treatment,1025.64933,433,576,1095,419,485,904,1674,599
2168,984,PA,16,Control,380.46228,188,225,428,175,178,359,507,83
2169,524,IL,14,Treatment,850.24803,601,369,1016,538,334,872,1639,232
2170,997,PA,7,Treatment,477.88824,420,417,863,242,231,488,745,0
2171,907,PA,11,Treatment,913.41159,416,585,1041,323,434,757,1466,890
2172,593,MN,8,Treatment,470.85516,126,442,613,137,345,503,677,112
2173,313,IL,12,Treatment,433.42581,214,242,495,182,186,378,791,676
2174,321,IL,12,Treatment,433.12524,139,276,451,119,275,396,642,578
2175,1330,WA,5,Treatment,180.77415,43,118,179,66,124,190,268,71
2176,807,OH,1,Control,508.88436,393,274,685,276,190,477,1249,1116
2177,1326,WA,3,Treatment,965.72367,725,238,1077,835,271,1106,1731,1025
2178,49,FL,18,Treatment,377.35596,191,248,450,197,228,428,561,179
2179,638,MN,8,Treatment,839.01084,341,659,1063,341,567,935,1187,577
2180,649,MN,1,Treatment,281.51412,411,242,739,383,140,523,450,344
2181,1047,PA,16,Treatment,580.19298,149,519,688,166,379,548,815,152
2182,740,NV,4,Treatment,735.34386,441,582,1117,428,467,928,1514,569
2183,1328,WA,5,Treatment,198.84318,62,125,200,70,126,196,259,82
2184,392,IL,12,Treatment,452.21595,185,285,494,194,198,407,677,618
2185,1000,PA,16,Treatment,909.3855,528,435,998,615,268,890,1452,214
2186,618,MN,8,Treatment,810.16386,331,661,1069,355,555,945,1148,224
2187,667,NV,4,Control,137.14119,40,101,158,44,84,148,241,138
2188,1310,WA,5,Treatment,572.86836,168,297,499,243,397,640,871,146
2189,491,IL,13,Treatment,627.62241,223,408,659,226,309,536,1066,108
2190,394,IL,13,Treatment,1321.31217,826,500,1421,831,461,1292,2335,0
2191,458,IL,13,Control,712.74822,276,424,754,241,406,648,1064,3
2192,452,IL,6,Treatment,468.30741,210,173,425,231,203,434,717,145
2193,1168,VA,1,Treatment,2699.067,1297,1154,2595,1284,1073,2357,4570,1527
2194,1027,PA,7,Treatment,715.10118,408,440,876,356,341,727,1104,0
2195,944,PA,7,Treatment,292.34238,139,224,388,132,148,292,530,2
2196,1137,VA,10,Treatment,1956.84615,933,698,1775,997,669,1666,2960,428
2197,525,IL,14,Treatment,488.2779,117,334,490,134,296,430,665,451
2198,970,PA,11,Treatment,1201.9833,275,1100,1430,258,915,1173,1911,1057
2199,1287,WA,5,Treatment,440.0835,162,237,441,181,256,437,665,54
2200,491,IL,13,Treatment,390.26241,154,252,428,169,201,370,727,77
2201,107,FL,15,Treatment,1147.73493,456,689,1215,554,671,1251,2023,621
2202,869,OH,1,Treatment,688.54266,249,512,801,208,427,655,1048,569
2203,96,FL,15,Control,1055.25096,536,708,1313,539,589,1147,1805,500
2204,888,OH,12,Treatment,510.3111,237,255,515,249,234,487,607,314
2205,505,IL,14,Treatment,662.71815,368,299,725,367,260,627,1114,327
2206,1214,WA,3,Treatment,46.28778,13,29,49,0,0,0,66,63
2207,1229,WA,3,Treatment,761.27931,469,319,849,529,303,832,1298,494
2208,1057,PA,16,Treatment,285.00873,50,274,333,44,214,262,407,61
2209,1295,WA,5,Treatment,544.70379,241,261,564,284,286,570,777,93
2210,1115,VA,7,Treatment,566.80923,229,285,539,244,213,464,944,275
2211,363,IL,13,Treatment,298.93428,325,32,364,226,34,260,846,0
2212,1112,VA,5,Treatment,900.06783,225,656,911,202,596,798,1276,437
2213,606,MN,2,Treatment,571.24425,325,380,763,314,308,623,874,572
2214,1166,VA,10,Treatment,2208.60771,1250,972,2424,1281,923,2204,3807,522
2215,577,MN,8,Treatment,185.90319,71,136,226,84,93,184,285,66
2216,355,IL,6,Treatment,492.47685,261,215,514,243,233,476,687,26
2217,1123,VA,1,Treatment,1017.00891,646,400,1077,517,385,902,1596,169
2218,312,IL,6,Treatment,721.55376,370,357,797,372,303,675,1304,446
2219,1097,VA,5,Treatment,217.54302,77,166,246,69,146,215,379,69
2220,386,IL,6,Treatment,560.71398,250,229,554,212,285,498,787,29
2221,1265,WA,3,Treatment,172.66263,75,76,157,77,78,155,229,195
2222,1089,PA,16,Treatment,457.82616,129,353,509,151,270,425,683,140
2223,808,OH,1,Treatment,526.39611,327,260,614,288,212,509,1058,929
2224,848,OH,1,Treatment,854.88042,229,685,962,238,550,811,1199,651
2225,43,FL,6,Treatment,1799.47131,1256,1094,2450,1125,821,2006,3968,868
2226,945,PA,11,Treatment,694.21866,307,560,914,303,453,756,1182,519
2227,603,MN,8,Treatment,753.35097,837,250,1223,732,189,1014,1489,636
2228,1112,VA,1,Treatment,609.5766,182,476,673,131,414,545,1009,126
2229,678,NV,4,Treatment,431.8146,594,171,802,514,114,656,1485,689
2230,856,OH,12,Treatment,814.18479,334,537,922,315,401,730,1385,308
2231,361,IL,12,Treatment,694.10256,274,410,725,333,324,665,938,660
2232,493,IL,6,Treatment,853.34403,490,326,895,489,351,840,1226,134
2233,421,IL,14,Treatment,520.16283,306,284,629,321,221,542,1052,208
2234,621,MN,1,Treatment,121.74891,46,109,166,64,90,154,188,120
2235,548,MN,1,Control,726.26871,249,590,909,261,504,772,1030,898
2236,916,PA,10,Treatment,655.62444,519,271,823,474,241,715,1339,11
2237,1244,WA,3,Treatment,834.25461,318,398,785,509,493,1002,2008,1095
2238,104,FL,18,Treatment,2055.91299,861,1371,2317,790,1360,2168,3221,766
2239,1168,VA,1,Treatment,2338.35591,1117,1077,2349,1251,1056,2307,4363,2203
2240,1217,WA,5,Treatment,503.77467,107,331,484,129,387,516,648,218
2241,1181,VA,7,Treatment,1536.79893,1416,360,1841,1369,303,1692,3052,1749
2242,43,FL,6,Treatment,1736.2239,1243,1065,2423,1053,784,1888,3805,759
2243,529,MN,8,Treatment,829.33455,372,584,1034,392,492,912,1180,542
2244,677,NV,4,Treatment,305.57004,89,263,360,76,222,315,516,299
2245,645,MN,2,Control,681.44508,290,478,802,300,403,704,893,832
2246,946,PA,10,Treatment,1363.23201,491,1089,1666,503,829,1332,2422,31
2247,491,IL,13,Control,431.18379,142,305,464,160,228,388,650,33
2248,395,IL,13,Treatment,507.52341,317,226,590,310,192,502,972,0
2249,581,MN,8,Treatment,627.7785,441,321,846,426,279,753,952,178
2250,799,OH,12,Treatment,450.80211,350,173,562,269,126,406,1220,147
2251,581,MN,8,Treatment,793.70475,555,459,1138,523,357,961,1303,446
2252,646,MN,8,Control,412.74969,231,207,472,236,194,440,507,299
2253,1104,VA,2,Treatment,1101.87414,486,637,1164,407,533,940,1975,1059
2254,531,MN,3,Treatment,588.17292,278,381,716,294,386,680,798,456
2255,1286,WA,3,Treatment,343.656,139,199,367,160,193,353,600,431
2256,840,OH,12,Treatment,669.97698,372,316,736,382,285,681,907,537
2257,886,OH,12,Treatment,598.67223,282,342,661,238,303,548,933,224
2258,1157,VA,5,Treatment,800.56755,425,458,903,358,377,735,1365,265
2259,507,IL,14,Treatment,865.09593,314,492,854,321,419,740,1251,442
2260,471,IL,13,Treatment,698.52081,174,469,710,165,402,568,1016,214
2261,321,IL,14,Treatment,336.79707,133,207,370,129,164,293,553,309
2262,616,MN,3,Treatment,724.8252,473,500,1103,448,392,847,1248,300
2263,1253,WA,5,Treatment,388.44738,222,161,407,268,156,424,563,36
2264,514,IL,12,Treatment,433.27488,213,257,518,212,195,414,686,478
2265,429,IL,13,Treatment,247.61679,126,142,284,123,92,215,414,23
2266,405,IL,12,Treatment,752.56665,261,566,892,291,361,674,1278,995
2267,630,MN,8,Treatment,772.22367,402,428,903,398,355,788,1042,254
2268,1217,WA,5,Treatment,423.92883,96,299,424,98,304,402,554,215
2269,1299,WA,5,Treatment,729.02544,283,392,751,305,424,729,1204,94
2270,936,PA,16,Treatment,1287.96825,379,1038,1474,388,769,1174,1798,333
2271,19,FL,18,Treatment,1049.2731,536,634,1194,546,580,1135,1563,715
2272,668,NV,4,Treatment,449.34828,208,316,565,202,287,512,705,430
2273,1037,PA,11,Treatment,905.87928,329,623,1018,389,515,904,1295,597
2274,100,FL,18,Treatment,3776.17959,1517,2553,4217,1420,2402,3859,5887,1563
2275,549,MN,8,Treatment,1742.61843,1546,962,2798,1531,790,2411,2624,2168
2276,609,MN,1,Treatment,128.96904,44,140,196,51,91,142,207,153
2277,1352,WA,5,Treatment,421.8429,161,232,437,193,221,414,736,73
2278,1240,WA,5,Treatment,741.39783,262,458,805,284,429,713,1129,77
2279,465,IL,6,Treatment,531.59481,210,222,473,186,270,457,673,43
2280,1026,PA,7,Treatment,850.82982,431,537,1013,428,401,852,1257,0
2281,943,PA,11,Treatment,673.3413,196,518,750,207,438,645,890,478
2282,632,MN,3,Treatment,1088.95737,689,558,1362,689,572,1263,1454,659
2283,303,FL,15,Treatment,940.0746,915,474,1465,738,385,1149,2559,1408
2284,1010,PA,11,Control,386.58462,550,295,919,438,178,616,1322,19
2285,189,FL,15,Treatment,1950.89925,764,1348,2209,718,1238,2022,3336,1110
2286,1181,VA,7,Treatment,1433.00682,1078,479,1672,1114,393,1545,2544,1401
2287,429,IL,12,Treatment,133.33569,38,85,124,62,62,126,181,156
2288,1295,WA,5,Treatment,569.08221,251,300,601,318,318,636,870,77
2289,1253,WA,3,Treatment,446.36967,195,205,439,206,219,425,673,427
2290,1215,WA,5,Treatment,298.18866,198,140,368,232,147,379,772,80
2291,553,MN,8,Treatment,33.04335,18,22,42,22,21,45,52,14
2292,890,OH,1,Treatment,502.78524,303,300,643,273,199,486,972,789
2293,411,IL,14,Treatment,997.23579,529,546,1145,522,437,959,1726,366
2294,1057,PA,11,Treatment,434.06307,84,401,500,83,326,409,655,565
2295,25,FL,16,Treatment,1247.20038,1407,2046,3602,467,810,1308,2445,616
2296,1187,VA,7,Control,2151.06855,1452,812,2371,1495,697,2230,3634,1262
2297,1229,WA,3,Treatment,668.24967,368,321,750,363,333,696,1184,727
2298,1162,VA,10,Treatment,1739.63079,426,1153,1663,446,1062,1508,2726,955
2299,469,IL,14,Treatment,394.095,139,244,413,154,180,334,731,504
2300,1069,PA,7,Treatment,486.30807,502,264,787,359,144,519,1307,5
2301,691,NV,4,Treatment,24.27522,38,6,46,34,10,45,83,39
2302,422,IL,14,Treatment,701.56392,375,331,756,376,306,682,1060,299
2303,919,PA,11,Treatment,524.91648,314,236,572,304,230,534,697,6
2304,174,FL,18,Treatment,1446.12354,730,999,1809,657,933,1612,2867,918
2305,145,FL,15,Treatment,2115.82317,877,1610,2580,860,1408,2315,3675,826
2306,468,IL,13,Treatment,505.21818,220,281,542,200,287,487,783,0
2307,866,OH,1,Treatment,804.71103,278,521,840,265,486,763,1088,974
2308,439,IL,6,Treatment,401.95626,251,265,595,151,214,366,651,24
2309,577,MN,8,Treatment,373.32471,168,228,435,170,200,387,526,97
2310,551,MN,1,Treatment,169.4802,53,129,199,68,105,173,215,137
2311,685,NV,4,Treatment,1116.24345,751,829,1722,683,724,1466,2469,789
2312,758,NV,3,Treatment,653.07927,413,474,962,411,347,807,1360,1137
2313,188,FL,18,Treatment,801.02937,446,546,1049,414,474,902,1480,553
2314,147,FL,6,Treatment,3100.31505,1149,2243,3503,1170,1994,3213,4604,2709
2315,957,PA,16,Treatment,605.16738,213,438,679,195,345,543,841,163
2316,508,IL,13,Control,238.64226,66,168,255,86,135,221,418,22
2317,506,IL,6,Treatment,692.93253,428,302,795,426,272,698,1159,170
2318,1129,VA,7,Treatment,1846.50471,763,1008,1866,745,958,1719,2624,670
2319,991,PA,16,Treatment,378.13641,262,152,430,243,99,349,1013,330
2320,976,PA,16,Treatment,640.83459,167,496,696,186,363,557,874,202
2321,330,IL,13,Treatment,362.27715,122,260,406,133,236,369,573,40
2322,381,IL,12,Control,247.88382,172,107,291,161,74,245,434,341
2323,544,MN,8,Treatment,47.83707,24,27,55,28,28,57,60,6
2324,335,IL,12,Treatment,231.78978,81,180,270,87,116,207,582,519
2325,958,PA,16,Control,1796.58816,782,1066,1918,902,787,1699,2731,557
2326,887,OH,1,Treatment,733.54689,170,636,843,175,463,652,1094,973
2327,65,FL,6,Control,741.60036,245,580,867,244,524,782,1206,219
2328,802,OH,12,Treatment,697.76487,335,359,725,361,328,696,955,627
2329,565,MN,3,Treatment,916.84815,660,617,1429,627,450,1081,1660,218
2330,816,OH,1,Treatment,509.34876,131,448,602,115,328,453,763,408
2331,748,NV,4,Treatment,690.08679,680,463,1232,531,320,914,2007,879
2332,548,MN,1,Treatment,146.76717,34,140,182,32,118,150,188,118
2333,1262,WA,5,Treatment,93.0735,14,69,87,15,72,87,117,47
2334,1175,VA,5,Treatment,1044.91935,445,590,1106,451,523,974,1653,633
2335,769,NV,4,Control,515.96904,858,122,1025,697,101,834,1892,1136
2336,123,FL,6,Treatment,1042.63476,522,647,1225,540,524,1080,2110,1238
2337,1180,VA,2,Treatment,1302.61749,1523,222,1843,1308,175,1483,3709,1657
2338,1352,WA,3,Treatment,422.6685,523,552,1160,236,229,465,788,585
2339,1261,WA,5,Treatment,516.29154,369,144,562,551,205,756,1196,20
2340,343,IL,12,Treatment,178.03419,111,99,224,72,62,142,535,496
2341,1138,VA,1,Treatment,1565.11314,505,1005,1576,517,893,1410,2289,401
2342,754,NV,3,Treatment,304.62834,222,236,487,211,154,397,707,575
2343,1219,WA,3,Treatment,619.34835,289,343,696,324,331,655,953,651
2344,495,IL,6,Control,744.35193,285,401,761,257,420,677,1024,16
2345,1122,VA,10,Treatment,1554.62157,610,675,1366,857,736,1593,2772,311
2346,285,FL,6,Treatment,582.35373,228,391,657,257,338,610,1028,378
2347,539,MN,8,Treatment,102.05319,33,74,117,39,57,102,129,120
2348,1106,VA,1,Treatment,1070.66517,361,759,1182,371,686,1057,1569,157
2349,975,PA,10,Treatment,358.36716,689,29,732,324,21,345,1435,1
2350,974,PA,11,Treatment,1135.08261,443,807,1321,458,656,1114,1683,840
2351,295,FL,16,Treatment,2424.08415,838,1890,2844,868,1707,2597,3896,1329
2352,606,MN,2,Treatment,1253.16147,1072,768,2023,1079,689,1779,2182,844
2353,318,IL,12,Treatment,586.12182,173,434,640,164,391,568,1009,892
2354,13,FL,18,Control,846.07359,628,415,1072,578,379,983,1549,817
2355,816,OH,1,Treatment,449.63208,86,337,446,82,320,413,562,502
2356,398,IL,12,Treatment,362.13912,262,119,415,230,128,369,643,537
2357,644,MN,8,Treatment,1422.23919,992,582,1704,955,522,1557,1973,674
2358,1302,WA,5,Control,632.14902,207,340,586,237,395,632,859,72
2359,1155,VA,7,Treatment,1169.37726,560,583,1241,611,503,1131,1638,578
2360,276,FL,18,Treatment,566.70861,314,313,647,302,289,596,886,240
2361,549,MN,3,Control,1389.14553,1215,521,1894,1193,513,1707,1959,782
2362,999,PA,16,Treatment,370.56927,194,255,464,164,174,342,620,93
2363,800,OH,12,Treatment,541.47105,125,443,586,127,339,480,848,158
2364,1333,WA,3,Treatment,740.64576,409,345,815,459,418,877,1211,979
2365,971,PA,10,Treatment,1659.31797,540,1263,1883,544,1116,1663,2456,36
2366,641,MN,8,Treatment,1059.56988,403,941,1490,418,679,1153,1703,689
2367,928,PA,7,Treatment,1034.32071,613,696,1369,565,475,1073,1797,1
2368,1240,WA,3,Treatment,502.57368,139,367,549,135,358,493,726,641
2369,872,OH,1,Treatment,673.33356,503,291,816,431,230,678,1114,889
2370,1042,PA,7,Treatment,900.61092,455,581,1079,472,494,985,1473,0
2371,797,OH,12,Treatment,514.03275,165,406,593,133,329,472,839,139
2372,1096,VA,5,Treatment,584.04879,330,311,650,272,264,536,943,183
2373,564,MN,3,Treatment,2357.36664,1354,1238,2823,1446,1288,2737,3236,1678
2374,1188,VA,10,Treatment,1429.72119,2015,968,3126,1102,552,1654,2644,1008
2375,1344,WA,5,Treatment,746.71521,353,361,804,455,365,820,1280,113
2376,942,PA,11,Treatment,300.45003,326,98,445,249,80,329,752,114
2377,307,FL,16,Treatment,1065.08205,502,706,1243,446,630,1093,1551,465
2378,420,IL,12,Treatment,349.66353,231,114,365,280,92,386,596,529
2379,960,PA,10,Treatment,590.92965,656,126,813,513,87,600,1168,41
2380,225,FL,6,Treatment,1301.14818,667,962,1724,661,720,1401,2838,790
2381,690,NV,3,Treatment,572.97027,417,420,901,375,305,724,1230,1126
2382,926,PA,16,Treatment,473.85699,253,299,568,242,181,428,763,133
2383,485,IL,13,Treatment,324.08025,79,235,328,72,228,300,463,150
2384,927,PA,11,Treatment,903.26445,365,421,830,465,400,865,1138,12
2385,438,IL,12,Treatment,288.13956,96,208,319,104,174,282,413,346
2386,402,IL,14,Treatment,333.39018,172,170,364,181,137,318,550,203
2387,510,IL,6,Treatment,721.02099,293,395,751,295,355,650,1092,77
2388,822,OH,1,Treatment,792.36573,284,537,857,264,455,729,1268,878
2389,1354,WA,5,Treatment,538.7556,175,302,509,197,351,548,711,77
2390,1351,WA,3,Control,185.67357,49,138,207,54,137,191,278,224
2391,1221,WA,3,Treatment,496.84608,237,224,489,278,212,490,759,511
2392,1151,VA,2,Treatment,2260.92108,1516,925,2624,1471,779,2250,4224,1464
